"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"04-04-2024 00:00","1712188803","0.905","0.095","0.006"
"04-11-2024 00:00","1712793603","0.905","0.085","0.011"
"04-18-2024 00:00","1713398403","0.905","0.075","0.011"
"04-25-2024 00:00","1714003203","0.905","0.075","0.02"
"05-02-2024 00:00","1714608003","0.905","0.075","0.0225"
"05-09-2024 00:00","1715212803","0.915","0.065","0.0195"
"05-16-2024 00:00","1715817604","0.915","0.065","0.02"
"05-23-2024 00:00","1716422403","0.915","0.055","0.0195"
"05-30-2024 00:00","1717027203","0.915","0.055","0.0195"
"06-06-2024 00:00","1717632003","0.915","0.055","0.0195"
"06-13-2024 00:00","1718236803","0.915","0.055","0.0195"
"06-20-2024 00:00","1718841604","0.925","0.055","0.0195"
"06-27-2024 00:00","1719446402","0.925","0.055","0.0195"
"07-04-2024 00:00","1720051203","0.925","0.045","0.017"
"07-11-2024 00:00","1720656003","0.935","0.045","0.017"
"07-18-2024 00:00","1721260802","0.945","0.035","0.017"
"07-25-2024 00:00","1721865601","0.945","0.0395","0.0175"
"08-01-2024 00:00","1722470402","0.945","0.0335","0.018"
"08-08-2024 00:00","1723075201","0.945","0.0345","0.016"
"08-15-2024 00:00","1723680002","0.96","0.032","0.0155"
"08-22-2024 00:00","1724284802","0.9745","0.02","0.0025"
"08-29-2024 00:00","1724889602","0.9765","0.0225","0.0015"
"09-05-2024 00:00","1725494402","0.9715","0.023","0.0015"
"09-12-2024 00:00","1726099202","0.9755","0.0225","0.0015"
"09-19-2024 00:00","1726704001","0.9755","0.022","0.0015"
"09-26-2024 00:00","1727308802","0.975","0.021","0.0035"
"10-03-2024 00:00","1727913602","0.977","0.02","0.0035"
"10-05-2024 14:50","1728139802","0.977","0.02","0.0035"
