"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.007"
"04-11-2024 00:00","1712793603","0.905","0.075","0.011"
"04-18-2024 00:00","1713398403","0.905","0.075","0.011"
"04-25-2024 00:00","1714003203","0.905","0.075","0.0115"
"05-02-2024 00:00","1714608003","0.905","0.075","0.0115"
"05-09-2024 00:00","1715212803","0.905","0.065","0.012"
"05-16-2024 00:00","1715817604","0.905","0.065","0.012"
"05-23-2024 00:00","1716422403","0.94","0.055","0.0115"
"05-30-2024 00:00","1717027203","0.945","0.055","0.012"
"06-06-2024 00:00","1717632003","0.955","0.045","0.0115"
"06-13-2024 00:00","1718236803","0.955","0.045","0.011"
"06-20-2024 00:00","1718841604","0.955","0.045","0.011"
"06-27-2024 00:00","1719446402","0.95","0.045","0.011"
"07-04-2024 00:00","1720051203","0.95","0.035","0.0085"
"07-11-2024 00:00","1720656003","0.95","0.038","0.01"
"07-18-2024 00:00","1721260802","0.935","0.043","0.012"
"07-25-2024 00:00","1721865601","0.935","0.0435","0.011"
"08-01-2024 00:00","1722470402","0.935","0.0465","0.014"
"08-08-2024 00:00","1723075201","0.965","0.043","0.009"
"08-15-2024 00:00","1723680002","0.9605","0.034","0.0055"
"08-22-2024 00:00","1724284802","0.9585","0.0335","0.0125"
"08-29-2024 00:00","1724889602","0.963","0.0245","0.009"
"09-05-2024 00:00","1725494402","0.9675","0.0235","0.0085"
"09-12-2024 00:00","1726099202","0.9715","0.0225","0.008"
"09-19-2024 00:00","1726704001","0.9745","0.022","0.0065"
"09-26-2024 00:00","1727308802","0.9735","0.022","0.006"
"10-03-2024 00:00","1727913602","0.974","0.0175","0.0045"
"10-05-2024 14:59","1728140342","0.974","0.0175","0.0045"
