"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"04-04-2024 00:00","1712188803","0.925","0.075","0.0075"
"04-11-2024 00:00","1712793603","0.905","0.065","0.014"
"04-18-2024 00:00","1713398403","0.905","0.055","0.0135"
"04-25-2024 00:00","1714003203","0.905","0.065","0.0135"
"05-02-2024 00:00","1714608003","0.905","0.055","0.0135"
"05-09-2024 00:00","1715212803","0.925","0.0245","0.0375"
"05-16-2024 00:00","1715817604","0.925","0.025","0.0095"
"05-23-2024 00:00","1716422403","0.915","0.0215","0.009"
"05-30-2024 00:00","1717027203","0.915","0.0245","0.0145"
"06-06-2024 00:00","1717632003","0.915","0.025","0.009"
"06-13-2024 00:00","1718236803","0.915","0.025","0.0085"
"06-20-2024 00:00","1718841604","0.92","0.0165","0.0085"
"06-27-2024 00:00","1719446402","0.925","0.0165","0.0085"
"07-04-2024 00:00","1720051203","0.945","0.026","0.008"
"07-11-2024 00:00","1720656003","0.945","0.0225","0.0075"
"07-18-2024 00:00","1721260802","0.955","0.008","0.0075"
"07-25-2024 00:00","1721865601","0.955","0.0085","0.007"
"08-01-2024 00:00","1722470402","0.95","0.012","0.0035"
"08-08-2024 00:00","1723075201","0.9585","0.007","0.007"
"08-15-2024 00:00","1723680002","0.977","0.011","0.0075"
"08-22-2024 00:00","1724284802","0.9835","0.0085","0.0035"
"08-29-2024 00:00","1724889602","0.982","0.007","0.002"
"09-05-2024 00:00","1725494402","0.9835","0.0055","0.002"
"09-12-2024 00:00","1726099202","0.983","0.0065","0.003"
"09-19-2024 00:00","1726704001","0.984","0.006","0.003"
"09-26-2024 00:00","1727308802","0.982","0.006","0.003"
"10-03-2024 00:00","1727913602","0.976","0.007","0.0045"
"10-05-2024 14:26","1728138362","0.978","0.0085","0.004"
